tangled,1
the-emperors-new-groove,0.641232
college-road-trip,0.57494
saving-mr-banks,0.514909
hannah-montana-the-movie,0.486486
national-treasure,0.463464
the-princess-diaries,0.461407
the-help,0.459372
man-on-a-ledge,0.438314
what-happens-in-vegas,0.405876
high-school-musical-3-senior-year,0.40034
jonas-brothers-the-3d-concert-experience,0.392624
sunshine-superman,0.357211
fantasia-2000,0.344256
beverly-hills-chihuahua,0.340523
the-game-plan,0.315497
the-adventurer-the-curse-of-the-midas-box,0.306084
the-dukes,0.303698
hotel-for-dogs,0.288657
the-muppets,0.279856
tron-legacy,0.278213
bruno,0.275803
frozen-2013,0.27538
the-secret-world-of-arrietty,0.272425
me-before-you,0.272214
harold-kumar-escape-from-guantanamo-bay,0.271707
morning-light,0.270534
million-dollar-arm,0.2693
prom,0.269174
bedtime-stories,0.269003
alexander-and-the-terrible-horrible-no-good-very-bad-day,0.269001
the-sorcerers-apprentice,0.268812
old-dogs,0.268671
secretariat,0.268567
into-the-woods,0.268546
prince-of-persia-the-sands-of-time,0.268448
up,0.26833
g-force,0.26833
the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe,0.26833
the-chronicles-of-narnia-prince-caspian,0.26833
pirates-of-the-caribbean-at-worlds-end,0.26833
wreck-it-ralph,0.26833
bolt,0.26833
frankenweenie,0.26833
the-kid-with-a-bike,0.26072
elysium,0.254735
the-glass-castle,0.254264
yoo-hoo-mrs-goldberg,0.253934
big-hero-6,0.25134
terrors-advocate,0.25134
